"","name","value","is_filter"
"1","Annotation: Lengths measured for","All fish",TRUE
"2","Annotation: Type of Length measure","Fork length",FALSE
"3","Sampling: Bait type","Pilchards",TRUE
"4","Sampling: Deployment duration (min)","60",TRUE
"5","Sampling: Bait quantity (g)","800",FALSE
"6","Sampling: Bait deployment","Plastic coated wire mesh bag",FALSE
"7","Sampling: Bait consistency","Mushed",FALSE
"8","Sampling: Minimum separation distance of samples (m)","250",FALSE
"9","Sampling: Camera type","GoPro 3+ Black medium FOV",FALSE
"10","Sampling: Camera configuration","Stereo",FALSE
"11","Sampling: Camera separation (mm)","700",FALSE
"12","Sampling: Camera incidence angle (degrees)","7",FALSE
"13","Sampling: Camera height above benthos (mm)","350",FALSE
"14","Sampling: Bait arm length (m)","1.5",FALSE
"15","Sampling: Frame type","Steel",FALSE
"16","Annotation: Upload type","EventMeasure database output",TRUE
"17","Annotation: Annotation tool/software","EventMeasure-stereo",FALSE
"18","Annotation: Taxa that have been ID'd","All fauna",FALSE
