"campaignid","sample","family","genus","species","length","number","range"
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB559","Labridae","Hemigymnus","melapterus",330.81463,1,3391.371
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB559","Acanthuridae","Naso","unicornis",413.31876,1,3741.04616
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB559","Acanthuridae","Acanthurus","grammoptilus",266.96414,1,3694.15785
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB559","Siganidae","Siganus","doliatus",220.16538,1,3475.20603
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB559","Acanthuridae","Acanthurus","dussumieri",334.51289,1,3603.63502
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB559","Lutjanidae","Lutjanus","fulviflamma",216.19483,1,1713.00409
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB559","Scaridae","Scarus","rubroviolaceus",261.14508,1,2973.7275
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB559","Acanthuridae","Naso","annulatus",282.87427,1,1794.85325
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB559","Lutjanidae","Lutjanus","carponotatus",273.86185,1,1555.56053
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB559","Lutjanidae","Lutjanus","lemniscatus",259.84069,1,1809.44098
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB559","Lutjanidae","Lutjanus","lemniscatus",141.37901,1,1286.76571
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB559","Lutjanidae","Lutjanus","lemniscatus",208.39732,1,1196.96278
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB559","Serranidae","Plectropomus","spp",538.64984,1,1733.8647
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB559","Lethrinidae","Lethrinus","atkinsoni",234.27493,1,1264.81707
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB559","Lethrinidae","Lethrinus","atkinsoni",250.47662,1,1623.26305
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB559","Lethrinidae","Lethrinus","atkinsoni",281.3954,1,1604.17712
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB559","Lethrinidae","Lethrinus","atkinsoni",274.88835,1,1512.84085
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB559","Lethrinidae","Lethrinus","atkinsoni",251.74779,1,1228.61946
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB559","Lethrinidae","Lethrinus","atkinsoni",244.26404,1,1361.23809
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB559","Lethrinidae","Lethrinus","atkinsoni",231.83944,1,1562.67206
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB559","Lethrinidae","Lethrinus","atkinsoni",261.52263,1,1182.87015
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB559","Lethrinidae","Lethrinus","atkinsoni",255.46144,1,2019.46929
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB559","Lethrinidae","Lethrinus","atkinsoni",254.7754,1,1442.86132
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB559","Pomacanthidae","Pomacanthus","semicirculatus",275.98082,1,3147.88683
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB559","Ariidae","Netuma","thalassina",519.43798,1,1466.63328
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB559","Nemipteridae","Pentapodus","emeryii",266.23631,1,1058.54461
