"sample","filename","period","periodtime","family","genus","species","comment","maxn","project","campaignid","latitude","longitude","date","time","location","status","site","depth","observer","successful.count","successful.length"
"NCB521","NCB521_L.avi","Analysis","59.14171","Balistidae","Sufflamen","chrysopterum",NA,2,"Pilbara Marine Conservation Partnership","2014-10_Montebello.sanctuaries_stereoBRUVs","-20.61335667","115.4360017","20141029","8:12:00","SW.Montebello","Fished","1","10.6","Matt","Yes","Yes"
"NCB521","NCB521_L.avi","Analysis","55.16506","Blenniidae","Plagiotremus","rhinorhynchos",NA,1,"Pilbara Marine Conservation Partnership","2014-10_Montebello.sanctuaries_stereoBRUVs","-20.61335667","115.4360017","20141029","8:12:00","SW.Montebello","Fished","1","10.6","Matt","Yes","Yes"
"NCB521","NCB521_L.avi","Analysis","6.53886","Carangidae","Carangoides","fulvoguttatus",NA,2,"Pilbara Marine Conservation Partnership","2014-10_Montebello.sanctuaries_stereoBRUVs","-20.61335667","115.4360017","20141029","8:12:00","SW.Montebello","Fished","1","10.6","Matt","Yes","Yes"
"NCB521","NCB521_L.avi","Analysis","26.8985","Carangidae","Gnathanodon","speciosus",NA,1,"Pilbara Marine Conservation Partnership","2014-10_Montebello.sanctuaries_stereoBRUVs","-20.61335667","115.4360017","20141029","8:12:00","SW.Montebello","Fished","1","10.6","Matt","Yes","Yes"
"NCB521","NCB521_L.avi","Analysis","12.87273","Echeneidae","Echeneis","naucrates",NA,4,"Pilbara Marine Conservation Partnership","2014-10_Montebello.sanctuaries_stereoBRUVs","-20.61335667","115.4360017","20141029","8:12:00","SW.Montebello","Fished","1","10.6","Matt","Yes","Yes"
"NCB521","NCB521_L.avi","Analysis","30.17627","Ephippidae","Platax","batavianus",NA,1,"Pilbara Marine Conservation Partnership","2014-10_Montebello.sanctuaries_stereoBRUVs","-20.61335667","115.4360017","20141029","8:12:00","SW.Montebello","Fished","1","10.6","Matt","Yes","Yes"
"NCB521","NCB521_L.avi","Analysis","12.53995","Ginglymostomatidae","Nebrius","ferrugineus",NA,1,"Pilbara Marine Conservation Partnership","2014-10_Montebello.sanctuaries_stereoBRUVs","-20.61335667","115.4360017","20141029","8:12:00","SW.Montebello","Fished","1","10.6","Matt","Yes","Yes"
"NCB521","NCB521_L.avi","Analysis","7.49941","Labridae","Choerodon","cauteroma",NA,1,"Pilbara Marine Conservation Partnership","2014-10_Montebello.sanctuaries_stereoBRUVs","-20.61335667","115.4360017","20141029","8:12:00","SW.Montebello","Fished","1","10.6","Matt","Yes","Yes"
"NCB521","NCB521_L.avi","Analysis","32.29098","Labridae","Choerodon","cyanodus",NA,1,"Pilbara Marine Conservation Partnership","2014-10_Montebello.sanctuaries_stereoBRUVs","-20.61335667","115.4360017","20141029","8:12:00","SW.Montebello","Fished","1","10.6","Matt","Yes","Yes"
"NCB521","NCB521_L.avi","Analysis","0.58861","Labridae","Halichoeres","nebulosus",NA,2,"Pilbara Marine Conservation Partnership","2014-10_Montebello.sanctuaries_stereoBRUVs","-20.61335667","115.4360017","20141029","8:12:00","SW.Montebello","Fished","1","10.6","Matt","Yes","Yes"
