"scientific","australian.common.name","iucn.ranking"
"Carcharhinus plumbeus","Sandbar shark","Vulnerable"
"Rhynchobatus australiae","Whitespotted guitarfish","Critically Endangered"
"Carcharhinus amblyrhynchos","Grey Reef shark","Near Threatened"
"Mobula tarapacana","Chilean devil ray","Vulnerable"
"Triaenodon obesus","Whitetip reef shark","Near Threatened"
"Choerodon schoenleinii","Blackspot tuskfish","Near Threatened"
"Epinephelus malabaricus","Blackspotted rockcod","Near Threatened"
"Nebrius ferrugineus","Tawny shark","Vulnerable"
"Taeniurops meyeni","Blotched fantail ray","Vulnerable"
"Epinephelus coioides","Goldspotted rockcod","Near Threatened"
"Hemipristis elongata","Fossil shark","Vulnerable"
"Epinephelus polyphekadion","Camouflage grouper","Near Threatened"
"Negaprion acutidens","Lemon shark","Vulnerable"
"Carcharhinus albimarginatus","Silvertip shark","Vulnerable"
