resp.vars,depth,mean.relief,sd.relief,mesophotic.reef,photic.reef,biota.unconsolidated,tpi,roughness,detrended,status
targeted.abundance,0.997,0.254,0.03,0.648,0,0.003,0.142,0.003,0.596,0
Lethrinus atkinsoni,0.004,0.101,0.708,0.005,0.413,0.097,0.095,0.891,0.237,0.032
Pomacentrus coelestis,0.009,0.268,0.26,0.008,0.001,0.435,0.008,0.839,0.95,0.06
Chromis fumea,0.198,0.403,0.449,0.037,0.049,0.299,0.09,0.064,0.759,0.082
total.abundance,0.96,0.992,0.005,0,0,0.001,0.987,0.02,0.007,0.006
species.richness,0.05,0.998,0,0,0,0,0.049,0.786,0.934,0.036
greater than legal size,0.997,0.99,0,0.009,0.002,0,0.455,0,0.135,0
legal size atkinsoni,1,0.007,0,0.989,0,0,0.172,0,0.256,0
legal size spango,0.116,0.104,0.169,0.184,0.241,0.099,0.101,0.006,0.21,0.636
legal size trout,0.164,0,0,0,0.005,0,0.001,0.174,0,0.162
smaller than legal size,0.677,0.108,0.001,0.567,0,0.322,0.222,0.321,0.4,0.001
sublegal size atkinsoni,0.722,0.669,0.001,0.085,0.016,0.239,0.262,0.267,0.397,0.001
sublegal size trout,0.972,0.613,0.361,0,0.002,0.024,0.211,0.022,0.029,0.001
